,,,,26,Ng'wang'halanga
,,,,27,Buguku
,,,,28,Ng'washi
,,,,29,Ihyila
,,,,30,Nyaluhama
,,,,31,Mitimirefu
,,,,32,Nyanembe
,,,,33,Nyangwi
,,,,34,Kigoto
,,,,35,Kishira
,,,,36,Nyamatala
,,,,37,Ihyila B
,,,,38,Shibayi
,,4,Lwanhima,39,Nyakamanga
,,,,40,Kageye
,,,,41,Kagera
,,,,42,Igwambiti B
,,,,43,Igwambiti D
,,,,44,Ihushi
,,,,45,Igwambiti C
,,,,46,Mwalukila 
,,,,47,Nhobola
,,,,48,Nyabahigi
,,,,49,Isebanda
,,,,50,Igwambiti A
,,,,51,Semba
,,,,52,Bugayamba
,,,,53,Sahwa
,,,,54,Maliza
,,,,55,Lwanhima Magharibi
,,,,56,Kibundubundu
,,5,Butimba,57,Tambukareli
,,,,58,Kambarage
,,,,59,Ziwa
,,,,60,Amani
,,,,61,Iseni
,,,,62,Bohari
,,,,63,Hospitali
,,,,64,Kanyerere
,,6,Nyegezi,65,Swila
,,,,66,Nkamba
,,,,67,Calfonia
,,,,68,Kuzenza
,,,,69,Nyabulogoya
,,,,70,Nchenga
,,,,71,Igubinya
,,,,72,Ibanda
,,7,Mkuyuni ,73,Mkuyuni Sokoni
,,,,74,Relwe
,,,,75,Shede
,,,,76,Kang'anga
,,,,77,Mulumbani
,,,,78,Mahina Relini
,,,,79,Mahakama
,,,,80,Nyakurunduma
,,8,Igogo,81,Kambarage
,,,,82,Minja
,,,,83,Bugando
,,,,84,Jiwe
,,,,85,Mulungushi
,,,,86,Kwimba
,,,,87,Azimio
,,,,88,Mwenge
,,,,89,Malulu
,,9,Pamba,90,Pamba A
,,,,91,Pamba B
,,,,92,Miembeni A
,,,,93,Miembeni B
,,,,94,Bugarika Kusini
,,,,95,Bugarika Kaskazini
,,,,96,Mission
,,,,97,Mlimani
,,,,98,Zahanati
,,,,99,Jeshini
,,10,Mirongo,100,Rufiji
,,,,101,Uhuru
,,,,102,Utemini
,,11,Isamilo,103,Nyakabungo A
,,,,104,Nyakabungo C
,,,,105,Nyakabungo 
,,,,106,Nera
,,,,107,Isamilo Kaskazini A
,,,,108,Isamilo Kaskazini B
,,,,109,S.D.A
,,,,110,Nyakabungo B
,,,,111,Lake
,,,,112,National
,,,,113,Msikiti
,,12,Nyamagana,114,Capripoint
,,,,115,Nyamagana Mashariki
,,,,116,Nyamagana Magharibi
,,,,117,Idara ya Maji
,,13,Mbugani,118,Unguja
,,,,119,Nyashana
,,,,120,Kasulu
,,,,121,"Mbugani ""A"""
,,,,122,Uhuru
,,,,123,Mission
,,14,Mabatini,124,Mbugani B
,,,,125,Nyerere A
,,,,126,Nyerere B
,,,,127,Mabatini Kusini
,,,,128,Mabatini Kaskazini
