CHEMBA DISTRICT COUNCIL ,,,,,,,,
TARAFA,NO,KATA,NO,KIJIJI,NO,VITONGOJI,NO ,Health facility 
,,,,,176,Mbuyuni,,
,,,,,177,Miyonzi,,
,,,44,Gonga,178,Gonga chini,,Gonga disp
,,,,,179,Msanga,,
,,,,,180,Kitobo,,
,,,,,181,Shuleni,,
,,,45,Gonga Chini,182,Molongise,,
,,,,,183,Qastawase,,
,,,,,184,Umbage,,
,11,Makorongo,46,Donsee,185,Bwawani,,Kubunko disp
,,,,,183,Kagera,,
,,,,,184,Amani,,
,,,,,185,Myomboni,,
,,,47,khubunko,191,Sengesee,,
,,,,,192,Erenzesee,,
,,,,,193,Basko,,
,,,48,Makorongo,186,Makorongo A,,Makorongo 
,,,,,187,Makorongo B,,
,,,,,188,Naante,,
,,,,,189,Wekense,,
,,,,,190,Sansazwa,,
,,,49,Hawelo,231,Hawelo shuleni,,
,,,,,232,Zaweze Mgomore,,
,,,,,233,Miyomboni A,,
,,,,,234,Miyomboni B,,
,,,50,Humekwa,235,Humekwa Kati,,
,,,,,236,Mlimani,,
,,,,,237,Mgomore,,
,,,,,238,Miyomboni Nguji,,
,,,,,,,,
,,,51,Maziwa,194,Kunisee,,Maziwa
,,,,,195,Gunga,,
,,,,,196,Gedisee,,
,,,,,197,Maziwa shuleni,,
,,,,,198,Malamanda,,
,12,Babayu,52,Babayu,199,Babayu,,Babayu disp
,,,,,200,Muhanga,,
,,,,,201,Mnase,,
,,,,,202,Wenkensee,,
,,,53,Masimba,203,Msimba A,,
,,,,,204,Masimba B,,
,,,,,205,Mnase A,,
,,,,,206,Mhanga,,
,,,54,Chase,207,Chase shuleni,,Chase
,,,,,208,Dalai,,
,,,,,209,Naante,,
,,,,,210,Dolee,,
,,,,,211,Zihawa,,
,,,55,Chinyika,212,Chinyika,,
,,,,,213,Majengo,,
,,,,,214,Hubu,,
,,,,,215,Zezengwalo,,
,13,Gwandi,56,Gwandi,216,Gwandi kati,,Gwandi disp
,,,,,217,Kimbo Golo,,
,,,,,218,Ugogoni,,
,,,,,219,Bombani,,
,,,55,Rofati,220,Shuleni,,
,,,,,221,Mnigamba/Chang'ombe,,
,,,,,222,Wenkensee,,
,,,,,223,Majengo,,
,,,56,Muungano,224,Migamba,,
,,,,,225,Ugani,,
,,,,,226,Zawase,,
,14,Tumbakose,57,Tumbakose,227,Shuleni,,Tumbakose  disp
,,,,,228,Madebe,,
,,,,,229,Mbugani Kimpoka,,
,,,,,230,Kiyoli,,
KWAMTORO,15,Kwamtoro,60,Kwamtoro,239,Mirembe,,Kwa mtoro HC
,,,,,240,Suguda,,
,,,,,241,Kulusi,,
,,,,,242,Singida road,,
,,,,,243,Mnadani,,
,,,,,244,Matongoni,,
,,,61,Msera,245,Manase,,
,,,,,246,Msera Kati,,
,,,,,247,Thokoma,,
,,,62,Poro Banguma,248,Banguma shuleni,,
,,,,,249,Namie,,
,,,,,250,Konkita,,
,,,,,251,Monjole,,
,,,,,252,Mnawa,,
,,,,,253,Maata,,
,,,,,254,Poro Kati,,
,,,,,255,Warimba,,
,,,63,Kurio,256,Dodomase,,
,,,,,257,Njia panda,,
,,,,,258,Muleba,,
,,,,,259,Kurio Kati,,
,,,,,260,Mnazi mmoja,,
,,,,,261,Kurio Kaskazini,,
,,,,,262,Tumbelo,,
